Sample,Total,Duplicate,Mapped,Properly mapped,With mate mapped to a different chr,With mate mapped to a different chr (mapQ>=5),Bases_on_target,Bases_near_target,Effective_sequences_on_target(Mb),Effective_sequences_near_target(Mb),Effective_sequences_on_or_near_targe(Mb),Fraction_of_effective_bases_on_target,Fraction_of_effective_bases_near_target,Fraction_of_effective_bases_on_or_near_target,Average_sequencing_depth_on_target,Average_sequencing_depth_near_target,Bases_covered_on_target,Coverage_of_target_region,Bases_covered_near_target,Coverage_of_flanking_region,Fraction_of_target_covered_with_at_least_4x,Fraction_of_target_covered_with_at_least_10x,Fraction_of_target_covered_with_at_least_30x,Fraction_of_target_covered_with_at_least_100x,Fraction_of_flanking_region_covered_with_at_least_4x,Fraction_of_flanking_region_covered_with_at_least_10x,Fraction_of_flanking_region_covered_with_at_least_30x,Fraction_of_flanking_region_covered_with_at_least_100x
CRC100_N1,"244,805,165 (100%)","113,250,205 (46.26%)","244,694,156 (99.95%)","242,182,002 (99.45%)","851,606 (0.35%)","679,770 (0.28%)","65,755,218","83,216,925",12672.43,3249.82,15922.25 ,69.74%,17.88%,87.62%,192.72,39.05,"65,676,311",99.88%,"76,434,745",91.85%,99.75%,99.52%,97.91%,71.21%,73.58%,57.28%,35.49%,9.11%
CRC100_T1,"280,849,586 (100%)","133,312,603 (47.47%)","280,713,261 (99.95%)","277,392,756 (99.32%)","1,223,922 (0.44%)","1,008,484 (0.36%)","65,755,218","83,216,925",14102.01,3651.21,17753.22 ,69.70%,18.05%,87.75%,214.46,43.88,"65,676,311",99.88%,"78,132,370",93.89%,99.76%,99.57%,98.42%,77.68%,76.93%,60.12%,38.28%,10.90%
CRC101_N1,"296,062,554 (100%)","141,208,593 (47.70%)","295,823,725 (99.92%)","291,984,796 (99.19%)","1,595,676 (0.54%)","1,327,587 (0.45%)","65,755,218","83,216,925",15273.8,4360.41,19634.21 ,69.15%,19.74%,88.89%,232.28,52.4,"65,564,527",99.71%,"80,753,704",97.04%,99.55%,99.37%,98.61%,83.01%,85.37%,68.71%,45.05%,13.97%
CRC101_T1,"332,436,431 (100%)","166,198,731 (49.99%)","332,254,609 (99.95%)","323,534,778 (98.19%)","4,791,688 (1.44%)","4,170,405 (1.25%)","65,755,218","83,216,925",15637.28,5287,20924.28 ,65.31%,22.08%,87.39%,237.81,63.53,"65,590,829",99.75%,"82,509,581",99.15%,99.58%,99.42%,98.73%,84.12%,95.12%,82.25%,54.47%,17.38%
CRC103_N1,"276,164,587 (100%)","155,557,975 (56.33%)","276,029,969 (99.95%)","273,090,822 (99.42%)","973,984 (0.35%)","734,123 (0.27%)","65,755,218","83,216,925",9895.3,2592.34,12487.64 ,59.55%,15.60%,75.15%,150.49,31.15,"65,676,311",99.88%,"77,749,573",93.43%,99.73%,99.44%,96.35%,53.07%,74.50%,54.48%,29.64%,5.52%
CRC103_T1,"295,685,712 (100%)","167,780,290 (56.74%)","295,530,129 (99.95%)","291,973,796 (99.29%)","1,010,486 (0.34%)","780,869 (0.26%)","65,755,218","83,216,925",10381.58,2592.24,12973.82 ,59.77%,14.93%,74.70%,157.88,31.15,"65,669,736",99.87%,"76,501,319",91.93%,99.71%,99.38%,96.04%,54.80%,72.05%,52.38%,28.89%,6.00%
CRC104_N1,"325,401,407 (100%)","186,697,293 (57.37%)","325,102,246 (99.91%)","321,197,558 (99.23%)","1,133,708 (0.35%)","868,221 (0.27%)","65,755,218","83,216,925",11242.54,2837.76,14080.30 ,59.47%,15.01%,74.48%,170.98,34.1,"65,656,585",99.85%,"77,807,824",93.50%,99.72%,99.47%,97.32%,62.05%,74.89%,55.03%,31.68%,6.80%
CRC104_T1,"322,204,111 (100%)","184,278,214 (57.19%)","322,002,694 (99.94%)","318,319,742 (99.33%)","1,064,726 (0.33%)","821,073 (0.25%)","65,755,218","83,216,925",11261.71,2780,14041.71 ,60.69%,14.98%,75.67%,171.27,33.41,"65,663,160",99.86%,"77,233,628",92.81%,99.71%,99.47%,97.13%,61.48%,73.90%,54.16%,30.89%,6.99%
CRC105_N1,"292,206,834 (100%)","162,570,545 (55.64%)","292,061,117 (99.95%)","288,133,920 (99.31%)","1,350,220 (0.46%)","1,075,588 (0.37%)","65,755,218","83,216,925",10352.92,2643.88,12996.80 ,58.88%,15.04%,73.92%,157.45,31.77,"65,538,225",99.67%,"77,075,515",92.62%,99.47%,99.18%,96.48%,55.97%,73.68%,54.01%,30.08%,6.02%
CRC105_T1,"257,331,027 (100%)","121,932,753 (47.38%)","257,205,482 (99.95%)","253,894,224 (99.24%)","1,048,208 (0.41%)","842,578 (0.33%)","65,755,218","83,216,925",12824.38,3279.6,16103.98 ,68.73%,17.58%,86.31%,195.03,39.41,"65,505,348",99.62%,"77,175,376",92.74%,99.46%,99.25%,97.91%,72.65%,74.94%,58.03%,36.04%,9.34%
