symbol,HGCN,uniprot,length,start,end,hmm.acc,hmm.name,type
45943,,A1L4Q6,167,NA,NA,NA,NA,NA
47480,,A4D1N5,150,NA,NA,NA,NA,NA
17813,,A6NDN8,102,30,97,PF00240,ubiquitin,Domain
45882,,A6NDX4,124,NA,NA,NA,NA,NA
47195,,A6NHS1,94,NA,NA,NA,NA,NA
29452,,A6NIZ1,184,5,167,PF00071,Ras,Domain
3708,,A6NJR5,290,154,286,PF11357,Spy1,Family
15810,,A6NJY4,79,13,76,PF15125,TMEM238,Family
3846,,A6NL46,340,77,286,PF15229,POM121,Family
2394,,A6NLC8,198,96,181,PF04719,TAFII28,Domain
47247,,A6NN06,94,NA,NA,NA,NA,NA
30495,,A6NNC1,897,1,205,PF15229,POM121,Family
30493,,A6NNC1,897,341,472,PF15229,POM121,Family
30494,,A6NNC1,897,613,745,PF15229,POM121,Family
46321,,A8MT66,165,NA,NA,NA,NA,NA
46791,,A8MTW9,85,NA,NA,NA,NA,NA
47294,,A8MU10,97,NA,NA,NA,NA,NA
9757,,A8MUA0,341,78,287,PF15229,POM121,Family
10596,,A8MUI8,341,78,287,PF15229,POM121,Family
46600,,A8MUN3,132,NA,NA,NA,NA,NA
46750,,A8MUU9,505,NA,NA,NA,NA,NA
16222,,A8MV72,311,48,257,PF15229,POM121,Family
39246,,A8MVJ9,347,78,329,PF10228,DUF2228,Family
8641,,A8MVM7,634,112,566,PF15090,DUF4553,Family
14687,,A8MWL6,223,20,164,PF01284,MARVEL,Domain
45972,,A8MWP4,228,NA,NA,NA,NA,NA
46314,,A8MWP6,167,NA,NA,NA,NA,NA
8445,,A8MX80,341,78,288,PF15229,POM121,Family
16119,,A8MXE2,369,98,289,PF01762,Galactosyl_T,Family
45858,,A8MXK9,166,NA,NA,NA,NA,NA
47325,,A8MZ25,164,NA,NA,NA,NA,NA
33664,,B2RBV5,119,1,119,PF15155,MRFAP1,Family
25360,,C9JQL5,133,54,121,PF04505,CD225,Family
33585,,O00370,1275,11,230,PF03372,Exo_endo_phos,Domain
33584,,O00370,1275,517,773,PF00078,RVT_1,Family
46654,,P01358,10,NA,NA,NA,NA,NA
46189,,P01858,4,NA,NA,NA,NA,NA
45835,,P02728,10,NA,NA,NA,NA,NA
46181,,P02729,8,NA,NA,NA,NA,NA
45840,,P09565,113,NA,NA,NA,NA,NA
46808,,P0C879,139,NA,NA,NA,NA,NA
45817,,P0C880,135,NA,NA,NA,NA,NA
39629,,P0DMU3,169,1,169,PF15897,DUF4741,Family
47013,,P0DOX2,455,NA,NA,NA,NA,NA
47396,,P0DOX3,512,NA,NA,NA,NA,NA
47368,,P0DOX4,547,NA,NA,NA,NA,NA
46681,,P0DOX5,449,NA,NA,NA,NA,NA
46997,,P0DOX6,576,NA,NA,NA,NA,NA
47300,,P0DOX7,214,NA,NA,NA,NA,NA
46588,,P0DOX8,216,NA,NA,NA,NA,NA
46879,,P22103,10,NA,NA,NA,NA,NA
47290,,P69208,11,NA,NA,NA,NA,NA
46459,,Q0P140,79,NA,NA,NA,NA,NA
45901,,Q0VFX4,171,NA,NA,NA,NA,NA
46458,,Q0VG73,95,NA,NA,NA,NA,NA
2639,,Q1RN00,199,1,199,PF15716,DUF4672,Family
